Round,cwnd,ssthresh,mode
1,1,8,RENO
2,2,8,RENO
3,4,8,RENO
4,8,8,RENO
5,4,4,RENO
6,5,4,RENO
7,6,4,RENO
8,3,3,RENO
9,4,3,RENO
10,5,3,RENO
11,2,2,RENO
12,3,2,RENO
13,4,2,RENO
14,5,2,RENO
15,2,2,RENO
16,3,2,RENO
17,4,2,RENO
18,5,2,RENO
19,6,2,RENO
20,7,2,RENO
21,8,2,RENO
22,4,4,RENO
23,5,4,RENO
24,6,4,RENO
25,3,3,RENO
26,4,3,RENO
27,5,3,RENO
28,6,3,RENO
29,7,3,RENO
30,3,3,RENO
